id,version,name,owner_role,description,numerator,denominator,exclusions,source_model,known_limits
beneficiaries,1,Beneficiaries,Data owner,Synthetic beneficiaries with a row in the year's beneficiary summary file.,Count of beneficiary-year rows,n/a,none,fact_beneficiary_year,Synthetic people. DE-SynPUF is a 5 percent synthetic sample of 2008 beneficiaries.
member_months,1,Member months,Data owner,"Months a beneficiary contributes to rates. A beneficiary-year contributes min(Part A coverage months, months alive in the year), placed from January.","Sum over beneficiary-years of min(BENE_HI_CVRAGE_TOT_MONS, months alive)",n/a,Deceased beneficiaries stop after the month of BENE_DEATH_DT,mart_member_month,"CMS gives a count of covered months, not which months. Placing them from January is an assumption."
claims,1,Analytic claims,Payer operations leader,"Claims that pass the analytic rules: valid dates inside the study window, duplicates removed, segments merged.","Analytic claims (beneficiary + CLM_ID within a setting, segments merged)",n/a,"Claims with invalid dates, claims dated outside 2008-01-01 to 2010-12-31, duplicate rows",fact_claim_header,Inpatient claims are dated by admission date.
claims_per_1000,1,"Claims per 1,000 member-years",Payer operations leader,"Analytic claims divided by member years, times 1,000.","Analytic claims (beneficiary + CLM_ID within a setting, segments merged)",Member months divided by 12,"Claims with invalid dates, claims dated outside 2008-01-01 to 2010-12-31, duplicate rows",mart_utilization_annual,Inpatient claims are dated by admission date.
admissions_per_1000,1,"Inpatient admissions per 1,000 member-years",Payer operations leader,"Continuous inpatient stays per 1,000 member-years. A claim admitted on or before the discharge date of the beneficiary's earlier stay continues that stay.",Inpatient stays by admission date,Member years,Invalid or out-of-window inpatient claims,mart_utilization_annual,Transfers are merged; no discharge status field exists to identify them directly.
ed_proxy_per_1000,1,"ED visit proxy per 1,000 member-years",Quality analyst,"Outpatient claims carrying at least one HCPCS code from 99281 to 99285, per 1,000 member-years.",Analytic outpatient claims with an ED evaluation and management code,Member years,none beyond analytic-claim rules,mart_utilization_annual,"DE-SynPUF has no revenue center codes, so this is a code-based proxy, not a validated ED measure."
outpatient_per_1000,1,"Outpatient visits per 1,000 member-years",Payer operations leader,"Analytic outpatient claims per 1,000 member-years.",Analytic outpatient claims,Member years,analytic-claim rules,mart_utilization_annual,A claim is not necessarily a distinct visit.
carrier_service_lines,1,Carrier service lines,Payer operations leader,"Carrier line items (up to 13 per claim) that have a HCPCS code, a non-zero payment or a performing NPI. CMS pads unused slots with a 0.00 payment; those padded slots are not lines.",Analytic carrier lines,n/a,analytic-claim rules,fact_claim_line,Line-level payment is the only carrier payment field.
paid_amount,1,Total claim payment amount,Payer operations leader,Medicare trust fund payment on analytic claims. Institutional claims use CLM_PMT_AMT (segments summed); carrier claims use LINE_NCH_PMT_AMT_1..13 (lines summed). Negative amounts are payment adjustments and are included.,Sum of payment on analytic claims,n/a,Invalid-date and out-of-window claims are reported separately,fact_claim_header,"Not a cost, charge or allowed amount. Beneficiary summary MEDREIMB_* fields do not tie to claim payments and are not used."
paid_per_beneficiary,1,Payment per beneficiary,Payer operations leader,Total claim payment amount divided by beneficiaries in the year.,Total claim payment amount,Beneficiary summary rows in the year,analytic-claim rules,mart_payment_annual,Includes beneficiaries with no claims.
paid_per_claim,1,Payment per claim,Payer operations leader,Paid amount divided by analytic claims.,Paid amount (CLM_PMT_AMT + LINE_NCH_PMT_AMT),Analytic claims,Invalid-date and out-of-window claims are reported separately,mart_payment_annual,"Not a cost, charge or allowed amount. Beneficiary summary MEDREIMB_* fields do not tie to claim payments and are not used."
paid_per_admission,1,Payment per admission,Payer operations leader,Inpatient payment divided by inpatient stays.,Inpatient CLM_PMT_AMT on analytic claims,Inpatient stays by admission year,analytic-claim rules,fact_inpatient_stay,Payment on a claim dated by admission is attributed to the admission year.
top5_payment_share,1,Payment concentration (top 5 percent),Payer operations leader,Share of a year's payment held by the highest-paid ceil(5 percent of beneficiaries) beneficiaries.,Payment of the top ceil(5 percent x N) beneficiaries,Total payment in the year,none,mart_payment_concentration,Ties are broken by beneficiary ID.
readmission_proxy,1,30-day readmission proxy,Quality analyst,Share of eligible index stays followed by another stay beginning after the index discharge date and within 30 days.,Eligible index stays with a later stay in the window,Eligible index stays,Invalid dates; beneficiary died between admit and discharge; discharge within 30 days of the end of the study period,mart_quality_monitoring,"Measure-inspired proxy, not a certified measure. No planned-readmission or discharge-status field is available. Any stay can be both an index and a readmission."
mean_los,1,Mean length of stay,Quality analyst,Mean of discharge date minus admission date over stays.,Sum of stay days,Stays,analytic-claim rules,fact_inpatient_stay,About 5 percent of source stays disagree with CLM_UTLZTN_DAY_CNT; the date difference is used.
utilization_risk_tier,1,Utilization risk tier,Quality analyst,"Transparent points from prior-year information only. Comorbidity points from chronic condition flags (0-1 conditions 0, 2-3 conditions 1, 4 or more 2), admission points (0 stays 0, 1 stay 2, 2 or more 3), paid points (under 1,000 dollars 0, 1,000 to under 5,000 dollars 1, 5,000 or more 2). Score 0-1 low, 2-3 medium, 4 or more high.",n/a,n/a,Beneficiaries with no prior-year row are not assessed,mart_member_risk,"Descriptive portfolio stratification. Not CMS-HCC, RAF or any official risk adjustment."
provider_review_flag,1,Provider review flag,Payer operations leader,"A provider-year whose payment per claim or claim volume exceeds Q3 plus a multiple (default 3, Tukey far-out fence) of the interquartile range of its peers (same provider type, setting for facilities, and year), with a minimum claim count and peer count. The fence applies only when peers vary (IQR above zero).",n/a,n/a,"Groups with too few peers or claims, or with no spread among peers, are not flagged",mart_provider_performance,"A prompt for review only. It is not evidence of fraud, poor quality or provider performance."
